"","logFC","logCPM","PValue","FDR"
"LRRTM2|26045",2.27338991991108,-0.326740217677813,1.98219057941022e-05,0.0127607330454493
"TDGF1|6997",2.90464911768597,-0.369125216803178,2.23115202843431e-05,0.0136706981378491
"BCL2L10|10017",2.00296728117258,0.6192708888125,2.33180794188577e-05,0.0136706981378491
"CTXN1|404217",1.13352126938413,7.23451491732939,2.3685640219717e-05,0.0136706981378491
"KCNF1|3754",2.63992598171747,2.18567307978523,2.4933453477781e-05,0.0138593789724824
"MAGEA9B|728269",-6.54284045026317,3.30090886418979,2.56685833520705e-05,0.0138593789724824
"AADACL3|126767",2.61081555157611,-1.85733222712795,3.16179428288588e-05,0.01653816022092
"TUBA3D|113457",2.05520093468337,-0.0496364951275281,3.50046811011356e-05,0.0173037265386833
"TRIM43|129868",-4.3063140304536,-1.50387732226653,3.51491637182001e-05,0.0173037265386833
"SCUBE1|80274",1.91184514532997,-0.176667356722451,3.95604795951606e-05,0.0189189516418228
"TXNDC3|51314",2.24288272647284,-0.557290234715112,4.88577479856701e-05,0.0217030977106396
"SFTPB|6439",2.45885728322901,2.38768873621689,5.00336238163465e-05,0.0217030977106396
"HAND1|9421",-4.29038283596297,-1.03039327271296,5.00639611679194e-05,0.0217030977106396
"TRPM5|29850",2.55671726863711,1.65810243667867,5.14268924501582e-05,0.0217030977106396
"PM20D1|148811",-2.72478327569677,-0.901823283367789,5.20393839887393e-05,0.0217030977106396
"GORASP2|26003",0.707411494696388,7.80741395328421,5.31620866373654e-05,0.0217030977106396
"CCL13|6357",2.00653487269649,1.27806135926411,5.73974068061409e-05,0.0228742332171711
"OLFM4|10562",5.27051778581947,4.26809593829634,6.23225812635284e-05,0.0242594270974172
"CCL18|6362",2.19006174388451,2.58473791170964,6.83160508444657e-05,0.0254265989562835
"SNORA23|677808",2.91998716653559,-1.23243956022494,6.83592396363219e-05,0.0254265989562835
"FGF17|8822",-3.69125085610705,1.28180298236121,7.47458773012723e-05,0.0268944995421123
"CHIT1|1118",2.12170551142738,1.83308319194465,7.55192662492101e-05,0.0268944995421123
"KLF6|1316",-0.86799546554349,7.390165306862,8.0020513143765e-05,0.027456145466904
"KLHL38|340359",2.76626405556056,-0.373172154930307,8.24299723966481e-05,0.027456145466904
"MYO7B|4648",2.07147666805465,2.00318254999996,8.46394839822688e-05,0.027456145466904
"FLJ40330|645784",2.14449461833952,1.51390007772053,8.55290359885083e-05,0.027456145466904
"LOC201651|201651",1.95695720410115,1.28605929612999,8.66585636754287e-05,0.027456145466904
"HECW1|23072",1.6919767026302,-0.417174188070819,8.69384460357219e-05,0.027456145466904
"SLC39A4|55630",1.09935059913157,6.83061449274702,9.91774508748851e-05,0.0307413365322931
"PAEP|5047",3.30413713668418,5.17671731720447,0.00010271868417234,0.0312600970123023
"ABCC9|10060",-2.06507020346469,3.06863310060248,0.000106056981182305,0.0315148966019748
"SOST|50964",2.54619291737269,-0.183859799326912,0.000107321609888431,0.0315148966019748
"ID1|3397",-1.77433425102465,4.93484152085444,0.000116584025913323,0.0336445418230552
"RBP2|5948",-4.22967001932514,-0.554601071087233,0.000124559234423713,0.0353368214539678
"ITLN1|55600",-4.06497846530185,1.72433963354569,0.000140924576381667,0.0393132593246058
"ALOX12|239",-1.84272355161938,1.00490181227211,0.00015046373854127,0.0406696702506125
"S100P|6286",2.20499737794833,0.343985916648821,0.000154067296182903,0.0406696702506125
"VIT|5212",2.42348000087661,-1.42382963270022,0.000155129815130406,0.0406696702506125
"RASGRP1|10125",1.09902776944344,3.09824892399318,0.000155505968218377,0.0406696702506125
"MAPK15|225689",1.37472799121825,4.95219800743594,0.000172587698714067,0.0444426600165546
"CCL17|6361",1.9663532252023,-0.246497323041641,0.00019040831177423,0.0482887018557131
"SNORA63|6043",2.38872836213703,-0.231311371866153,0.000203350493106501,0.0501489506474667
"CHP2|63928",2.91290743664209,1.34935663286951,0.000203735729718469,0.0501489506474667
"C6orf15|29113",2.90814815167504,2.90437082300948,0.000207185465324885,0.0502589901247526
"WFS1|7466",0.687089757260485,5.84382877799464,0.000210635473765155,0.0503659508554453
"PABPC1L2B|645974",-3.23495284744699,-2.27607713191286,0.000214732030249712,0.0506223200326716
"NCAN|1463",-3.68639184790819,-0.507056267147015,0.000237856059160824,0.0546514891048785
"SPATA22|84690",3.33796569800262,-2.49971072567207,0.000241890296033083,0.0546514891048785
"HOXC10|3226",-3.1753271584821,0.47884908923879,0.000244708275679308,0.0546514891048785
"FAM70A|55026",1.40389233521551,1.96425184050316,0.000244883599167516,0.0546514891048785
"ELOVL3|83401",-2.02174758173338,2.56447923906034,0.000251964106647149,0.0554917791718418
"CACNG1|786",1.84558475091025,-1.55735783786033,0.000256402664248342,0.0557359453790747
"SNORD15B|114599",2.78160952487898,1.29703467332629,0.000263152179775132,0.0558001779765499
"L1TD1|54596",2.34219758820232,-1.27109614653917,0.000263365638675316,0.0558001779765499
"SCARNA5|677775",2.5296460638271,0.11698334958251,0.000269569730607743,0.0564007268864049
"TCEAL5|340543",-2.43372534432849,0.484107702661531,0.000275668381150695,0.0569646588111151
"STK32B|55351",1.95955009107656,2.31657478894888,0.000279551084518779,0.0570625128375039
"IL20|50604",-3.43770697724589,-0.701606407383818,0.000284420913221397,0.0573570752469848
"CELF3|11189",-3.45962582495387,-1.88502100626167,0.000292212701584174,0.0582268595132845
"DHDH|27294",-1.80353209472642,0.655977864772964,0.000298612304263454,0.0588020323383728
"PLCH2|9651",1.90457107255933,1.69383586937828,0.000312166776732023,0.0603278329685191
"FAM9C|171484",5.01872652983874,0.563348856403234,0.00031655197273073,0.0603278329685191
"CHRNA1|1134",2.34657993711196,2.18927584860919,0.000317173455683456,0.0603278329685191
"MYH11|4629",1.51169943845867,3.37328440547092,0.000332945193194224,0.0619558080230013
"ALOX12B|242",2.07678733107156,-1.09800342347486,0.000333383086845853,0.0619558080230013
"C18orf34|374864",-2.36294607793419,0.50372386121513,0.000336837049234862,0.0619558080230013
"LHFPL4|375323",-3.37645974330031,-0.701422431654099,0.000342913236215192,0.0623878450844553
"PCSK9|255738",-1.81872972783817,-0.451607285098046,0.000361785822457267,0.0651136677020402
"GPR183|1880",-1.00612047727689,4.29489225822281,0.000370652286459112,0.0653442682996993
"CYP4F22|126410",-2.97252386181807,-0.0438221199806522,0.000371364988533344,0.0653442682996993
"CEL|1056",1.44330005796137,2.05325681152584,0.000374778931579109,0.0653442682996993
"SPAG11A|653423",4.26445230849254,-2.25962820269357,0.000389512084130059,0.0672129202491642
"SHH|6469",3.6886396618826,-1.03095196268103,0.000394284534522452,0.0673421891718041
"RELN|5649",2.67092133584712,3.54693342697783,0.000406639435236791,0.0681107124404422
"ANKRD2|26287",-2.74429869559372,1.70534317278722,0.000406922645718976,0.0681107124404422
"INSL6|11172",-6.2837832616845,-1.34708500520347,0.000417962279885569,0.069265867729947
"ZNF295|49854",-0.579883309115868,4.4771073053911,0.000422777665028935,0.0693769858554345
"POU5F1|5460",-1.57829160858949,2.41245445646076,0.000434235001986761,0.0705276969624864
"KRT79|338785",2.69168748572431,-2.17142504157321,0.000438217259176639,0.0705276969624864
"UNC93A|54346",3.44209845858752,0.750780775689943,0.000468354471896587,0.0744330145395957
"ADCYAP1|116",-3.21361229777522,0.226189161360418,0.000471376481132581,0.0744330145395957
"TCEAL6|158931",-1.73974665328515,-1.2470013840574,0.00048591891500101,0.0746717908118481
"FIGNL2|401720",1.58303841645903,2.23227369656469,0.000490553861147437,0.0746717908118481
"LOC84931|84931",1.53148882283231,0.81182230645107,0.000492808160611691,0.0746717908118481
"LMX1B|4010",3.15458528721065,1.88219386793771,0.000496376838719532,0.0746717908118481
"DPYSL5|56896",-4.18437523160347,2.00105368048813,0.000498805807245695,0.0746717908118481
"HOXD11|3237",2.21948822052143,-0.704811740143559,0.000500736737680636,0.0746717908118481
"CLEC18C|283971",2.60656964704376,1.58190780086119,0.000504117120428894,0.0746717908118481
"DAB2IP|153090",0.618884866719459,6.09917780349766,0.000514876393708672,0.0755965006832961
"DMKN|93099",-1.97987344063775,7.61681902334134,0.000543432535489798,0.0785164762461163
"PTGDS|5730",1.943123688544,8.65719248977008,0.000544145730944527,0.0785164762461163
"C3orf17|25871",-0.470617384477756,6.0782203221406,0.000550107550124317,0.0786982920853061
"HOXC9|3225",-1.98548495028503,0.121720713676432,0.00057182899947522,0.081112489773019
"MEOX2|4223",-2.63922528001762,0.224202696594057,0.000597879962367833,0.0832173186128364
"GPR141|353345",1.30656742284547,0.874056744837893,0.000598943098027194,0.0832173186128364
"HOXD13|3239",2.39318104445028,-1.46444520017521,0.000604679144105856,0.0832173186128364
"ATP1B2|482",-2.38135240173244,3.82032017576697,0.0006070241039651,0.0832173186128364
"GPKOW|27238",-0.561626558357954,4.79751472733463,0.000613147283664012,0.0832173186128364
"TGM2|7052",1.09745275107655,7.487952882856,0.000616788051232247,0.0832173186128364
"RRAGD|58528",-0.999482289737965,4.71718509706006,0.000624703087147712,0.0832173186128364
"CLEC18B|497190",2.11673711280462,3.07399710462571,0.000626441757988851,0.0832173186128364
"NLGN1|22871",1.99606830450187,0.989702776603178,0.000633342902312593,0.0834716023536078
"CRHR1|1394",-2.62316945634669,-0.84962861761551,0.000644351906772433,0.0842590798090389
"D4S234E|27065",1.43788691009278,5.76024638019664,0.000671531415235139,0.0871325025442307
"TG|7038",1.55642823811951,-0.411082853516636,0.000681043828048074,0.0873081476043198
"RBPJL|11317",2.30927574546828,-1.21631804014709,0.000683317441520247,0.0873081476043198
"CIB3|117286",-4.90633598911358,-1.57163901012205,0.000719866153636719,0.0906436032891295
"FAM69C|125704",1.74363786411614,-1.59028485816503,0.000720253270250581,0.0906436032891295
"GRM1|2911",-2.15040929658065,0.193668273890289,0.000741684975577406,0.092644202397124
"PLXNB3|5365",1.80375521684076,2.08628469190747,0.000815561158835884,0.101117501308111
"GCGR|2642",-3.11901208505453,-2.09155419059749,0.000841070520297496,0.103513517417202
"SAMHD1|25939",-0.663256900645259,6.88882282450156,0.000848792821092231,0.103701417806144
"GABRB2|2561",-2.06910818215567,0.629945096767479,0.000861160112844105,0.103994424924447
"CXADR|1525",-0.733822150684296,4.96052042075336,0.000863617222159046,0.103994424924447
"BMI1|648",-0.683399833264531,6.56739581682608,0.000895906048917837,0.107111967477048
"SLC30A2|7780",1.86720811468384,2.55858341118943,0.000907171685328159,0.107689643042714
"SIX3|6496",3.10865294601873,2.17655110119909,0.000919040617133603,0.108250296947494
"GLB1L2|89944",0.895137811392436,5.24999320852074,0.00092482927849753,0.108250296947494
"SNORA22|677807",2.23608804730242,-0.876907844998186,0.000942784497466791,0.109585603601383
"AKAP6|9472",1.37477439695506,3.03177443724163,0.00100738290831274,0.115863368813107
"SCARNA10|692148",1.59183253267481,1.08268015066178,0.0010158497216911,0.115863368813107
"C10orf105|414152",-1.74711597068355,0.745790417796126,0.00101755975717091,0.115863368813107
"SLC5A5|6528",-2.39297376851484,1.90857745828101,0.00103694443593906,0.116347142734708
"MAP2K7|5609",0.541018493659012,5.81772857241195,0.00104365025827266,0.116347142734708
"GFRA1|2674",-2.33053778893781,2.85202662965627,0.00104713664632536,0.116347142734708
"KEL|3792",1.68070200010726,0.113978838501424,0.00104961277051863,0.116347142734708
"CATSPERB|79820",-1.71027088745154,-0.199217090502737,0.00107152504740946,0.117334930363293
"NLRP7|199713",-2.49888837682486,4.2968051685808,0.00108536369628594,0.117334930363293
"NFIL3|4783",-0.525852483185824,4.789944113748,0.00108899869596066,0.117334930363293
"PIGG|54872",0.479476340776941,4.76878267060672,0.00109331352501165,0.117334930363293
"ITGA3|3675",1.08158014897505,8.34859452779311,0.00109357444955632,0.117334930363293
"HABP2|3026",2.17081272891215,-1.21523207035389,0.00112766102586704,0.120221593955175
"SFRS13B|135295",-1.07722469500505,2.18548201309811,0.00116083679403258,0.122975229484287
"LOC220594|220594",-1.50961196144907,0.433161138996154,0.00118431441448006,0.124011327554497
