"IGFBPL1|347252"
"HRNBP3|146713"
"TIMP3|7078"
"CD69|969"
"ABCB5|340273"
"WHSC1|7468"
"FOXF2|2295"
"ATP6V0E1|8992"
"NFKB1|4790"
"MBNL3|55796"
"TRIM44|54765"
"NDUFB9|4715"
"DIO2|1734"
"TMCO7|79613"
"TMEM213|155006"
"PGA4|643847"
"SLC6A12|6539"
"KCNK9|51305"
"C20orf201|198437"
"MRPL53|116540"
"FGF19|9965"
"ILDR2|387597"
"FAM65C|140876"
"C3orf66|677779"
"TMEM135|65084"
"CALML5|51806"
"CLCN5|1184"
"CAMK2B|816"
"NAA20|51126"
"SRRM4|84530"
"EIF5A2|56648"
"SCG2|7857"
"UNC45A|55898"
"FGF12|2257"
"LOC100130522|100130522"
"HS6ST2|90161"
"ALX1|8092"
"ANPEP|290"
"ADAM33|80332"
"TIMM17B|10245"
"MUC13|56667"
"IGFBP1|3484"
"OPRK1|4986"
"PAPSS2|9060"
"MST1P9|11223"
"SUB1|10923"
"SYTL2|54843"
"LOC388789|388789"
"ALPI|248"
"CXCR7|57007"
"FAM3D|131177"
"TRIM36|55521"
"CS|1431"
"TSIX|9383"
"ZIC4|84107"
"MBD3|53615"
"CD79A|973"
"PGA3|643834"
"DYNC1H1|1778"
"C20orf56|140828"
"TRAPPC5|126003"
"HMOX1|3162"
"MGC72080|389538"
"LOC150197|150197"
"SENP3|26168"
"SIRT3|23410"
"XKR7|343702"
"STMN2|11075"
"PHKA2|5256"
"AKR7A3|22977"
"NDUFB11|54539"
"SRL|6345"
"HOXC5|3222"
"RBBP4|5928"
"PLA2G7|7941"
"DDX58|23586"
"NDUFA7|4701"
"ZDHHC22|283576"
"OIT3|170392"
"POLA1|5422"
"CCDC57|284001"
"CCL25|6370"
"SLIT3|6586"
"MALL|7851"
"BRSK2|9024"
"PCDHGA3|56112"
"CPS1|1373"
"CTSK|1513"
"TRMT112|51504"
"PIN4|5303"
"CLSTN2|64084"
"ITPRIPL1|150771"
"GSG1L|146395"
"NKAIN4|128414"
"FN3KRP|79672"
"NDUFC2|4718"
"ZG16B|124220"
"MTA1|9112"
"ACY1|95"
"FAM131A|131408"
"C5orf38|153571"
"CAV3|859"
"THOP1|7064"
"LOC100130274|100130274"
"IGF2|3481"
"DPEP1|1800"
"AG2|387763"
"BET1L|51272"
"C10orf91|170393"
"LIN37|55957"
"GDF10|2662"
"ILK|3611"
"CHIT1|1118"
"INA|9118"
"C3orf32|51066"
"TNFRSF11A|8792"
"P2RX2|22953"
"GPR97|222487"
"RPS6KA2|6196"
"SBK2|646643"
"SLC13A2|9058"
"EIF2B5|8893"
"ORM2|5005"
"SPCS2|9789"
"AFF3|3899"
"ORM1|5004"
"WDR18|57418"
"ENPP4|22875"
"TRPV2|51393"
"TCEB3C|162699"
"CLCN2|1181"
"EIF4A1|1973"
"GATA2|2624"
"SMPD3|55512"
"AIP|9049"
"FCAR|2204"
"EXTL1|2134"
"RPS27|6232"
"SCARA5|286133"
"B2M|567"
"STX1B|112755"
"AVPR2|554"
"GSC|145258"
"PROC|5624"
"LOC283267|283267"
"PPP1R10|5514"
"GPR88|54112"
"HS6ST1|9394"
"BIN1|274"
"PRPF8|10594"
"BLVRA|644"
"PHF21B|112885"
"TSR1|55720"
"GLOD5|392465"
"IL1R2|7850"
"CSTF3|1479"
"RASSF8|11228"
"CADM2|253559"
"PRRT4|401399"
"PQBP1|10084"
"C17orf70|80233"
"BLK|640"
"WFDC2|10406"
"PRR16|51334"
"ANKRD2|26287"
"NDUFA4|4697"
"CCDC87|55231"
"NAP1L4|4676"
"RIC8A|60626"
"SAMD9|54809"
"L1CAM|3897"
"HSPB1|3315"
"HEXIM1|10614"
"NDFIP1|80762"
"PRMT8|56341"
"MAGED4|728239"
"UNC93B1|81622"
"XPC|7508"
"SCGB2A2|4250"
"MMP12|4321"
"SHC3|53358"
"PELP1|27043"
"DIRAS3|9077"
"CPM|1368"
"SGK2|10110"
"DVL2|1856"
"GPR83|10888"
"LIPF|8513"
"CG030|116828"
"MOAP1|64112"
"TSC22D3|1831"
"CNTROB|116840"
"STXBP6|29091"
"PTPRD|5789"
"HAPLN1|1404"
"AP2A2|161"
"SH3GL2|6456"
"PFDN4|5203"
"NAP1L3|4675"
"PDE4B|5142"
"HIST2H2BF|440689"
"UVRAG|7405"
