"","logFC","logCPM","PValue","FDR"
"MUC5B|727897",1.93041575840192,6.88137411634156,0.00165975764929086,0.163579698371754
"CDH22|64405",-2.48186392155368,2.87104499219554,0.00167234275384491,0.163579698371754
"SLC47A2|146802",-1.85301129208009,0.822869832489211,0.00167821211175922,0.163579698371754
"PDLIM7|9260",-0.831589712571303,6.45288426000716,0.0016916176061905,0.163579698371754
"CRYAB|1410",-1.59558687174415,6.92218263386101,0.00170201313201117,0.163579698371754
"KCNQ1|3784",1.27174114334421,4.80002659076129,0.00170613775062946,0.163579698371754
"ADAMTSL1|92949",-1.80021138914612,1.58136211346012,0.00172547849711483,0.164472209070917
"PAN2|9924",0.56990368051779,5.42850391980354,0.00174452104444741,0.165326141755579
"C8orf59|401466",-0.898305673938639,5.43485272606057,0.00177573144515967,0.166567048393611
"CD44|960",1.02155568276056,6.44916044610941,0.00179381530953995,0.166567048393611
"TMEM90A|646658",-2.31003381212093,0.3400990381902,0.00179855792952475,0.166567048393611
"CST4|1472",3.09855307423039,0.487746038027825,0.00180253074929924,0.166567048393611
"RNF128|79589",2.67544095355602,0.885413517950987,0.00180841321220267,0.166567048393611
"TRPM5|29850",1.74563738661539,0.707731818840031,0.00182402379595346,0.166928366446004
"NLRP4|147945",-3.51505833511194,-2.17318542124161,0.00183618717212269,0.166928366446004
"CPA4|51200",-1.89902914846607,1.50635227021547,0.00184288102023341,0.166928366446004
"CRISP3|10321",3.23601533431424,5.39372251910611,0.00185542369603124,0.167141052178199
"SUCNR1|56670",1.51322813216064,-0.848187524234294,0.00189077591772056,0.167648487934278
"AARS|16",0.722277160505897,7.02144336721846,0.00189395916208755,0.167648487934278
"GFRA1|2674",-2.42564427672285,1.6878371008769,0.00190144445328049,0.167648487934278
"GDA|9615",2.85106780166427,2.92773148276378,0.00191337130597341,0.167648487934278
"AQP12B|653437",-3.42225226437423,1.07690586754547,0.00192153068880981,0.167648487934278
"RASGRF1|5923",1.67543410208376,1.49655618777679,0.00192331249367651,0.167648487934278
"DIO3|1735",1.89052412768016,-0.406853395487484,0.00193263581699168,0.167648487934278
"SLC14A1|6563",-3.00060386531995,2.89227368606039,0.00194722958992129,0.16802541645663
"ALG8|79053",-0.509045181022787,5.98170151858948,0.00195939906758699,0.168190302162768
"JAK1|3716",0.419018819458753,7.23461274189965,0.00198108064788689,0.169165714698466
"CNPY1|285888",4.55621039115354,-1.99723165564709,0.00204757707721206,0.173719367308455
"TMEM178|130733",-1.51014369316886,2.45386883595821,0.00205559971075573,0.173719367308455
"GALNT13|114805",-2.02855596298563,1.01099578945182,0.0020749263347807,0.173903358566764
"NETO1|81832",-2.88703237941819,-1.79698975080772,0.0020789910508744,0.173903358566764
"SLC3A1|6519",2.91844149450198,2.96974988237829,0.00209852525830164,0.174646302588099
"CACNA1C|775",-1.12113210480152,1.83126643779841,0.00214962715703569,0.177618294295325
"LOC401387|401387",-2.70337416897008,-1.30425919341401,0.0021559036636029,0.177618294295325
"SLC9A4|389015",-1.33749757732177,2.40589652479126,0.00218495310207476,0.179111530542579
"F5|2153",1.96859357481045,0.150459678254444,0.00221337151952207,0.180306314581158
"CDO1|1036",1.76526598917524,0.881372560358592,0.0022215233635495,0.180306314581158
"NELL1|4745",-3.71290081211111,-0.521071890673308,0.00228109994110579,0.183192518362265
"JPH2|57158",-1.6460232943664,2.30389282949143,0.00228146552154296,0.183192518362265
"KCNH6|81033",-3.52567293994251,-1.11949916087222,0.00229060483466083,0.183192518362265
"OSBPL6|114880",1.99554110344343,-0.249252148462911,0.00230908149519413,0.183383509365314
"PNPLA2|57104",0.640289000546068,7.52424652927593,0.00231536361321257,0.183383509365314
"HAPLN4|404037",-1.58778451690063,-0.143926829832135,0.00237216551129551,0.18697910364274
"LASS4|79603",-0.736372824525406,5.07921733297858,0.00238400213032892,0.187012990080109
"ULBP2|80328",2.08509034352372,-0.127292415995132,0.00242307774704644,0.189173141251554
"SLPI|6590",-1.25780733907376,10.1061323412883,0.00244790616909165,0.190205789773733
"ACTBL2|345651",-2.03086610630114,-0.30673279529304,0.0024815943337351,0.191215315224498
"JSRP1|126306",2.16520772758442,-1.49511479220322,0.00249020314803294,0.191215315224498
"MLH1|4292",0.455304761490639,4.79283108236568,0.00250030237978116,0.191215315224498
"CHRNA4|1137",-2.74161814358085,0.418102439923986,0.00251847685815304,0.191215315224498
"CARNS1|57571",-1.42071095926746,2.99613187899812,0.00251921366809951,0.191215315224498
"C7orf50|84310",-0.630146112944188,5.76145070196054,0.00257434247049421,0.19449928480992
"C17orf37|84299",-1.76491054247614,7.06231897956525,0.00260507259885033,0.195918189257574
"CHRFAM7A|89832",1.32141494704662,0.0737970313876042,0.00264330805807751,0.197886007361556
"PRODH|5625",2.69303386077564,3.10233528553164,0.00270687050867824,0.199303251194748
"CHRNA7|1139",1.92954006119858,-1.33750671382275,0.00271976822411301,0.199303251194748
"CAMKV|79012",-3.47919556746203,-0.092431230811989,0.00272399003686994,0.199303251194748
"LYPD2|137797",-2.94480328130385,6.11450992430134,0.00272979644050102,0.199303251194748
"LRRN4|164312",-1.69431953029519,2.94820992285692,0.00273332041411364,0.199303251194748
"GPHA2|170589",-1.57155339336064,-1.40262573388493,0.00273517728080623,0.199303251194748
"LGALS4|3960",2.13940824705489,-0.63606198677171,0.00275643036042946,0.199963167076287
"MT1H|4496",2.28390491072768,1.95352901240846,0.00277852875231214,0.200678321119637
"ZNF385B|151126",2.09124331945502,0.571704052374418,0.00279824387068303,0.201215825701089
"SMARCC1|6599",0.477103581281419,7.68624780381371,0.00283286651123319,0.20281592336973
"ULK3|25989",1.00839578255231,6.17040172054003,0.00288948812971368,0.205970251681112
"KLHL21|9903",0.753303915014539,5.51023454399556,0.00291083617839597,0.20659376253161
"C6orf142|90523",-2.73946272082628,-0.951174880176133,0.00292854689830405,0.206654867543278
"CAT|847",0.747596668397509,7.06717842093803,0.00293690662626311,0.206654867543278
"MGC29506|51237",2.12694557068708,1.48068296857154,0.00296292495067406,0.207594677633766
"SYT17|51760",-1.01165707828754,3.624833387959,0.00301609972107917,0.210036913735585
"FST|10468",-2.07425710124877,3.28374009800989,0.00302340418673975,0.210036913735585
"KRTCAP2|200185",-0.526489400577238,6.96225532382164,0.00305326832328109,0.210055902263307
"IBSP|3381",-1.99030818174279,1.51095973330049,0.00305531623876588,0.210055902263307
"NLGN1|22871",2.0203450778392,0.512803734202983,0.00306211409825742,0.210055902263307
"RIN2|54453",-0.428447082871754,6.19572522691934,0.00311368699515434,0.212631503661111
"PRSS23|11098",-1.10291486135685,6.7460852702764,0.00314447581971482,0.212631503661111
"MPDU1|9526",0.544294492551014,5.58111673882912,0.00314482238832499,0.212631503661111
"SOD3|6649",-1.68671795776672,5.45626815219391,0.00315222622705652,0.212631503661111
"CXorf64|100130613",-2.88305144850599,-1.26203521978458,0.0031645066723581,0.212631503661111
"CYP3A5|1577",1.99462482226361,2.51098981614942,0.00319224630357992,0.213619910804868
"NDUFB6|4712",-0.645212749760645,5.45022481406901,0.00328185881837322,0.21872388344402
"GTSF1|121355",-1.85137633254424,-0.84165638375748,0.00340636853382548,0.226102883044813
"SLAMF7|57823",1.28273457765032,1.9979637260402,0.00342018701160856,0.226104701835977
"PCDHGA8|9708",-1.9783819111751,1.39465086945979,0.00346755721611048,0.227844044753994
"C15orf2|23742",2.12914193338371,-1.85822274149491,0.00347736318795499,0.227844044753994
"SERPINB8|5271",0.577496876804924,3.86229562160979,0.00349840389911219,0.227844044753994
"IGFN1|91156",-3.14874765270048,-1.21249992184296,0.00350208595779241,0.227844044753994
"C6orf141|135398",1.66760094335591,-0.982251042008404,0.00356977453733608,0.231009791110484
"SSSCA1|10534",-0.595038718447276,5.08779094024944,0.00357892570552381,0.231009791110484
"PRDX5|25824",-0.486996990375179,8.01719978579847,0.0037014471898397,0.237351611504339
"LOC90246|90246",-1.71996897700504,-1.05331010352249,0.00370613068283689,0.237351611504339
"C9orf110|100128385",-1.39111571618519,1.03179482380939,0.00373902895650823,0.23852676942394
"OST4|100128731",-0.618435866536052,8.43814848875973,0.00375591172953016,0.23867508839398
"TSHR|7253",-2.2315647369149,1.22091284440574,0.0038100826827789,0.241182647043089
"GPR77|27202",1.48012278173596,-0.758217790089889,0.00385869544374257,0.241529833792035
"PLA2G10|8399",-2.10495766008069,-0.573829407752216,0.00386292967197084,0.241529833792035
"SPOCK1|6695",-1.50895179785212,2.02417915057811,0.0038705958849292,0.241529833792035
"DAZAP1|26528",0.434026049022244,6.40072652908674,0.00388286588762765,0.241529833792035
"MAGEC1|9947",3.13208545508137,1.76738018823511,0.003894430038794,0.241529833792035
"SRRM3|222183",-1.81282428910346,1.95431224579952,0.00391671143756683,0.241529833792035
"FAM9C|171484",2.69187048116714,-1.74597411094193,0.00391869080748285,0.241529833792035
"TSSK3|81629",1.06316130068131,0.698419720336212,0.00399001558591402,0.244711661962114
"C6orf174|387104",-1.8362740512091,0.526512505646375,0.00401004636599466,0.244711661962114
"NPY|4852",-4.19909680569141,1.14589755566084,0.00401509222737472,0.244711661962114
"NDUFB7|4713",-0.768624055251748,7.38711084846757,0.00403350754042172,0.244923541204497
"BARD1|580",0.722255294653985,2.60405622656815,0.00408458630743409,0.247109935462664
"CACNG1|786",-1.88363491583047,-0.921040630725851,0.00414628660333272,0.249920473756029
"NOLC1|9221",0.491406395070827,7.230032470849,0.00420157053268843,0.25232508748508
"RRP8|23378",0.57795195239528,3.75053986789905,0.00422971035713181,0.253087960967795
"UBL5|59286",-0.744165809973537,6.87828260399764,0.00426055072952885,0.253497851472429
"CCND2|894",-1.8690704140002,6.56102485171882,0.00426748441637026,0.253497851472429
"NMU|10874",-1.62077843815204,4.01573418724297,0.00429835926461718,0.254410108820934
"COX5B|1329",-0.576376854880655,8.22288768143288,0.00433551814811483,0.255686403015621
"FGF9|2254",-1.40671131494115,2.64936783506113,0.00437739617951127,0.256603437473043
"POLG|5428",0.580065383770421,5.57341795714865,0.00438237038685282,0.256603437473043
"ISM1|140862",-1.39453973807044,2.68002120140908,0.00441662936381623,0.25768910469668
"COL18A1|80781",-0.804336670677881,8.83657440913904,0.00443434918038458,0.257805513519168
"TBX1|6899",-1.68951564026637,0.532740847818451,0.00448973037799072,0.260102931262042
"PSENEN|55851",-0.708918231724998,6.91222773968326,0.00454811781408718,0.262338662689903
"SLC28A1|9154",1.841509438189,-0.601964239007807,0.00456032442004405,0.262338662689903
"B3GALT5|10317",2.00811607735994,0.918952904394435,0.00458277363630574,0.262708299885429
"ITGA10|8515",-1.55836100845022,1.41232133739001,0.00466101112698539,0.266262290686151
"DDX24|57062",0.430048176673278,7.4200389475368,0.00468843826794201,0.266323181730874
"VIL1|7429",4.16234896087608,2.18553792845036,0.00469456538702181,0.266323181730874
"HSPB2|3316",-1.35150437760734,3.32922173717426,0.00471957852939379,0.26681893099797
"GP1BA|2811",1.20383485751128,-0.0973355775750669,0.00474130672479184,0.267126198463788
"PRMT2|3275",-0.531216456138211,6.42672522202417,0.00476067289917676,0.267298740349325
"TTLL12|23170",0.684379479636788,6.58075519113265,0.00480261788701883,0.268733516237794
"CTHRC1|115908",-1.17602569986421,4.96280934836096,0.00485036938568047,0.270482333599426
"PCDH10|57575",2.52351419528924,2.29950244773891,0.00489065044672707,0.270765808451927
"IGFBPL1|347252",-1.79470088821359,-0.612673892425471,0.00490443195422744,0.270765808451927
"HRNBP3|146713",1.60279744308859,-1.53970011031685,0.00490499817689676,0.270765808451927
"TIMP3|7078",-1.29465907843792,7.33696224092888,0.0049368140295974,0.271607604078018
"CD69|969",1.30164764786068,2.17603953856313,0.0050056087417785,0.274227436296031
"ABCB5|340273",-2.09408077347457,-1.76372262365061,0.00502368918947764,0.274227436296031
"WHSC1|7468",0.666176102887209,6.37380978423708,0.0050346116697228,0.274227436296031
"FOXF2|2295",1.39895595397582,1.70697664591079,0.00509160692479769,0.275526760746591
"ATP6V0E1|8992",-0.565899113672653,7.56592311317954,0.00510420542851121,0.275526760746591
"NFKB1|4790",0.474348125348394,5.62655712823886,0.00513253045967869,0.275526760746591
"MBNL3|55796",1.07307306156096,2.52177373995855,0.00513443356399505,0.275526760746591
"TRIM44|54765",0.483568486132002,6.98102721480968,0.00516280678003682,0.275526760746591
"NDUFB9|4715",-0.74665806680489,8.36390524684434,0.00516397043318067,0.275526760746591
"DIO2|1734",-1.73263032555716,0.585381879389929,0.00521351407768028,0.275526760746591
"TMCO7|79613",0.747181574389661,2.61208661920863,0.00522802721805667,0.275526760746591
