"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RCAN1" -0.422682374367489 0.091718310277533 -4.22459557416153 3.45922628476451e-05 0.229011599146931 1.09190823659738
"AREG" -0.733567613983083 -0.00306281460352423 -4.12474850269306 5.19858921706104e-05 0.229011599146931 0.80744418210861
"EFEMP1" -0.756223442824874 0.147475365162996 -4.09798700784498 5.79092040998644e-05 0.229011599146931 0.732152442129085
"ST7" 0.26459215384602 -0.00624276040528634 3.9773245271092 9.35650605735101e-05 0.277513969661031 0.3977305098363
"RCL1" 0.333295023131315 0.0704434673436123 3.67116775114533 0.000300626797780341 0.454250056543991 -0.412906551622615
"RBM28" 0.276191338078724 -0.0347826393171806 3.65092949712241 0.000323908928345027 0.454250056543991 -0.464540226194836
"C17ORF60" -0.412706802909129 0.161986122837004 -3.64875064685731 0.00032651435808902 0.454250056543991 -0.470084467518447
"NLGN1" 0.598075197106809 -0.0284096722070485 3.62495093135322 0.000356288939335103 0.454250056543991 -0.530458890429921
"STEAP4" -0.47042111969475 0.0200604060176211 -3.60968982813042 0.000376706774681442 0.454250056543991 -0.568993501759785
"HSPB7" -0.304094173510084 -0.103440534577093 -3.60286225391717 0.000386193433117506 0.454250056543991 -0.586187823688952
"C9ORF82" 0.3414862642648 0.0859171646387665 3.57898357917351 0.000421169135366141 0.454250056543991 -0.646101660351068
"KCNE4" -0.438107973836151 0.0220285886607929 -3.54367410906534 0.000478381834739612 0.472960173945896 -0.734063777077526
"ZNF365" -0.349552736963564 0.0412060670352423 -3.44849748520369 0.000671046811830427 0.564343533152142 -0.967382842574767
"COL8A1" -0.480571090133701 0.0562472528237885 -3.42187576922871 0.000736724826905821 0.564343533152142 -1.03165048229314
"CX3CR1" -0.612572845179134 0.21779952246696 -3.41633395715555 0.00075113202726291 0.564343533152142 -1.04497410845862
"NBL1" -0.454578314400888 0.0561855362643172 -3.36106747126107 0.000909943192069801 0.564343533152142 -1.17680735356743
"PSIP1" 0.356025869719149 0.093200900845815 3.35075131558374 0.00094285648735124 0.564343533152142 -1.20120599429434
"GDPD3" -0.403517809032855 -0.00185401989427313 -3.33635770025979 0.000990636639857418 0.564343533152142 -1.23513766641061
"CYBRD1" -0.514986913084796 0.150323676845815 -3.31947202187555 0.00104956283561054 0.564343533152142 -1.27477976132148
"PORCN" -0.429864143932877 -0.0117489571057269 -3.31397926946914 0.00106942401306306 0.564343533152142 -1.28763665078245
"KIAA0020" 0.298310682263391 0.0841254934140969 3.30225801961562 0.00111298250323746 0.564343533152142 -1.31500962189157
"GAP43" -0.295914657226523 -0.0607586358193833 -3.28934038305521 0.00116289648594692 0.564343533152142 -1.34507711341935
"NNMT" -0.801242018665905 0.285801334964758 -3.28622248051634 0.00117525217484539 0.564343533152142 -1.35231880397775
"VSIG4" -0.515950520560398 0.357730377330396 -3.25090535654956 0.00132399486634334 0.564343533152142 -1.43392160758129
"PLAA" 0.252878553631424 0.0741127154449339 3.24705084491631 0.00134124624483866 0.564343533152142 -1.44278035756633
"COL8A2" -0.513834069951744 0.0779254910176211 -3.23892101032817 0.00137831897349971 0.564343533152142 -1.46143437261698
"DCLRE1A" 0.284498944153545 0.0464517125594714 3.23859111772591 0.00137984320756435 0.564343533152142 -1.4621904379565
"SIX1" 0.682141412551506 -0.1309804969163 3.23407736672163 0.00140085630137628 0.564343533152142 -1.47252841263945
