"logFC"	"AveExpr"	"t"	"P.Value"
"SND1"	-0.293800140847222	0.105623310068966	-3.0343464044396	0.00357078645668457
"HIST1H2BD"	0.583013378075	0.0430609747241379	3.01204342459212	0.00380588467513029
"USP18"	-0.829553887472222	-0.114403752431034	-2.99802654968133	0.00396093478499403
"BCAS3"	-0.300130206258333	-0.0921281256896552	-2.99553093709775	0.00398914971795302
"LUM"	1.11989576210278	-0.31593862812069	2.98287804443249	0.00413510181110188
"PHLDA1"	0.588024237972222	-0.0192759985	2.97176309365601	0.00426739660820252
"JPH3"	0.673401867666667	-0.116966618982759	2.96742802704776	0.00432005291470649
"IBSP"	0.313851332519445	-0.0513192953965517	2.95719186211678	0.00444679328867851
"LRP5L"	-0.395152219272222	-0.0432937388103448	-2.94957228239966	0.0045433694766632
"RAB31"	0.538625285155555	-0.341114029844828	2.9419534763571	0.00464188036468912
"TIMP3"	0.768446551644444	-0.42732887712069	2.93778580207546	0.00469660363766961
"RBM28"	-0.365774101080556	-0.121947125310345	-2.93325327335052	0.00475679687833186
"DHX30"	-0.311042118019444	-0.0155705109137931	-2.91737260647396	0.00497338954750146
"CHFR"	-0.3769965752	-0.213746345931034	-2.91673158291002	0.00498232139121125
"DHRS9"	0.858311913008334	0.0475729014827586	2.91082807499086	0.00506528112504818
"DPY19L4"	0.383822331102778	0.365824144344828	2.91069601438965	0.00506715147781179
"XYLT1"	0.276940914563889	-0.279063762793103	2.90947800248931	0.00508443218131625
"SULT2B1"	0.487839389472222	0.0180626424655172	2.90656553297598	0.00512597488747816
"NBL1"	0.589139882	-0.176234177396552	2.89957580914285	0.00522696089003335
"MXRA8"	0.639411689775	-0.453937913155172	2.85619963147986	0.00589597523105979
"UBE1L"	-0.425318316555556	0.31573303987931	-2.85549156632004	0.00590752503320657
"SPOCK1"	0.384583082125	-0.544309887810345	2.84652695367878	0.00605557281002617
"ERP29"	-0.351663101711111	0.0468823319310345	-2.84170637063013	0.00613659272018957
"TNFRSF11B"	1.06379500122778	0.495122029793103	2.83320260597912	0.00628196046151254
"RBM19"	-0.237761954125	-0.0770881840344828	-2.82589833180121	0.00640935363107257
"KIAA0020"	-0.346960614438889	0.0269804034827586	-2.81984639827824	0.0065167055231301
"ARHGAP5"	0.345004728858333	0.222170018068966	2.81877448270335	0.00653589160936593
"VAV2"	0.319753108594444	-0.0254819322931035	2.79685106995432	0.00693990081909852
"HNT"	0.546859921775	-0.316548296137931	2.79073405438204	0.00705666188634919
"C10ORF6"	-0.346267667305556	0.00941465674137931	-2.7891168952654	0.00708783090703345
"KAL1"	0.750221416463889	-0.0944800449310345	2.7825339230987	0.0072160229517988
"MXI1"	-0.425802229027778	0.0461331523965517	-2.77894699654567	0.00728676675541096
"EIF4A1"	-0.318766970663889	-0.0568955157758621	-2.77755741605678	0.00731434405278934
"TRIM5"	-0.392536279511111	0.0621770454137931	-2.77554048428491	0.00735454244797975
"NOX4"	1.10100135650833	-0.313053289517241	2.77135392572006	0.00743863189206539
"NUAK1"	0.460661665175	-0.45384316312069	2.76580313887322	0.0075514858866117
"FAM60A"	0.330881898063889	0.0422294969310345	2.76540870218337	0.00755956483579875
"CCL11"	0.716719116566667	-0.477762076741379	2.76380001669572	0.0075925966692617
"GDPD3"	0.574101102044444	0.221831779931034	2.76018363021539	0.0076673383468533
"PDGFD"	0.759085789955556	-0.0640669952931034	2.75004889060239	0.00788041478986536
"KHDRBS3"	0.816292192169444	0.170657087913793	2.7483656342572	0.00791632630971443
"ATP13A1"	-0.355853687236111	-0.0119783215862069	-2.74597034808798	0.00796768776585823
"FAP"	0.961854934075	-0.426944651396552	2.74532074329732	0.00798166970245166
"RIC8B"	-0.367344038283333	0.0715559402241379	-2.73781741364216	0.00814481025720974
"GCN1L1"	-0.308980338308333	-0.00588168984482759	-2.73436196130414	0.0082209644243682
"STK3"	0.325717102947222	0.203544240431034	2.73313968257706	0.00824805806118529
"PPEF1"	0.454991156605556	-0.2426644265	2.72627767177916	0.0084016914708776
"ITGA2"	0.451006996366667	0.107475376827586	2.72472932406682	0.0084367182869668
"TGFBR1"	0.280784035808333	-0.0756104667931034	2.72445723051488	0.00844288741807676
"MTR"	-0.505134494636111	0.13290595137931	-2.72444206822293	0.00844323131179025
"GAPVD1"	0.376512448127778	0.0302297319482759	2.71066309128841	0.00876111267986971
"FLJ22167"	-0.518010761280556	0.141213222327586	-2.71031105952773	0.00876937585383067
"GPATCH2"	-0.460744016816667	-0.0384905088103448	-2.70964632730782	0.00878499845700561
"RPLP2"	-0.313206519933333	0.0811344726724138	-2.70779167772251	0.00882872150881955
"VAV1"	0.517942052094445	0.100871331206897	2.7034318080923	0.00893229077945696
"FBXO21"	-0.557695774458333	0.155490856655172	-2.70324057922184	0.00893685881252236
"TWIST1"	0.736987418727778	-0.520804399551724	2.70262307575246	0.00895162420906746
"CNNM2"	-0.237104327652778	-0.0647208093103448	-2.69562204456165	0.0091205981413333
"PILRB"	-0.426382693136111	0.094258316637931	-2.69477028921404	0.00914135373134987
"ZNF589"	-0.345913391638889	0.033649798362069	-2.69374657444433	0.00916635682457803
"CHRM5"	-0.250211426452778	-0.0706805298275862	-2.6916835564509	0.00921693397265681
"SLC25A20"	-0.455865347611111	0.237581145793103	-2.68632010036824	0.00934962209858906
"CPSF4"	-0.293349287933333	0.0124006344137931	-2.6832523965242	0.00942629813028956
"PPRC1"	-0.321101106513889	-0.0831129484137931	-2.67676263896017	0.00959040535763072
"MAN1A1"	0.389835856766667	-0.0901221183448276	2.66622156100348	0.00986253253761683
"SCAP"	-0.298376135866667	-0.0348069287413793	-2.66526483782825	0.00988757710637301
"LAS1L"	-0.269033186	0.000828045275862072	-2.66439522763651	0.00991039166271047
"MALL"	0.610231104869445	-0.0474137968965517	2.66165434159856	0.00998261480788725
"PARP12"	-0.435956892819444	0.028112230137931	-2.65846424573427	0.0100672798334983
"C9ORF156"	0.245417302827778	0.163832704482759	2.65830554909238	0.0100715087052142
"USP33"	0.252742277980556	0.0604292092586207	2.65207019245232	0.0102389547008032
"GAD1"	-0.431396296005556	-0.164587169655172	-2.6493446629537	0.0103129416742752
"MEPCE"	-0.296084422038889	0.0834429087413793	-2.64931180831433	0.0103138365114361
"USP19"	-0.237280046108333	0.120916798775862	-2.645897281382	0.010407222623449
"COL10A1"	0.850441425808333	-0.364727462810345	2.63942617195203	0.0105863242113059
"EAPP"	0.329975904780556	0.237211810551724	2.63806818272089	0.0106242643904818
"SIRT3"	-0.300113718830556	0.121947838948276	-2.6294312065609	0.0108684841711343
"RCP9"	0.243871146669444	0.0535426077413793	2.62624698689347	0.0109598044982091
"SERPINE2"	0.926970701530556	0.00634625206896552	2.62572488175315	0.0109748444988888
"ENAH"	-0.365280657008334	-0.154503461844828	-2.62121789508121	0.0111054586087432
"KIAA0082"	-0.352431799319445	-0.0848556921206896	-2.62013125971993	0.0111371607748227
"USP4"	-0.326506360569444	0.0846520679482759	-2.61760453869545	0.0112111957340081
"AGA"	-0.588038633927778	0.00428800818965518	-2.6166515049806	0.0112392365750736
"SLC31A2"	0.356611586327778	-0.135003160275862	2.61056917498555	0.0114197044211083
"SLC5A4"	-0.221675149941667	-0.0762100414137931	-2.60802366749414	0.0114960114990248
"MALT1"	-0.409100255083333	-0.0806044873793103	-2.60069187399988	0.0117183974667732
"RAD21"	0.394279045691667	0.161062431431034	2.59974192615229	0.0117474955602975
