"logFC"	"AveExpr"	"t"	"P.Value"
"SOX12"	0.367638888356725	-0.255111658892857	2.4118984512259	0.0190769920419444
"NPPC"	-0.241397509894737	-0.132249183357143	-2.41107523675149	0.0191160455902674
"COBL"	0.440501762356725	-0.655528231892857	2.41016290367784	0.0191594107178583
"VAV3"	-0.860396526654971	0.178131229785714	-2.40822769413932	0.0192516875329708
"KPNA1"	0.276167445350877	0.15386251525	2.40551687247838	0.0193816181122115
"OR3A2"	0.393598693918128	-0.124413535571429	2.40216815524738	0.0195432084077431
"PGPEP1"	0.220115048950292	-0.118681924660714	2.39981779887149	0.0196573435407648
"RAB27B"	-0.517012221011696	-0.193172349821429	-2.39683488732758	0.0198030559843791
"MLPH"	0.533028946210526	-0.2702887985	2.39666832002611	0.0198112210964342
"MGC16824"	0.271637800725146	0.0280043172857143	2.39583817971909	0.0198519594805509
"GPR37"	-0.652192522716375	0.0223369162321429	-2.39568500404046	0.0198594846343697
"URG4"	0.297131485362573	-0.208801944107143	2.39352990464143	0.019965630724538
"NELF"	0.29162512269883	-0.0359541923392857	2.39210243629248	0.020036217949805
"SSX5"	0.289971415707602	-0.239401960357143	2.39191205295259	0.0200456491336995
"FAM59A"	-0.498529793567252	0.00413190992857142	-2.3908236976697	0.0200996402941089
"C19ORF29"	0.234217055836257	-0.206304334785714	2.39075028230418	0.0201032869696743
"MICAL1"	0.208303620187135	0.194326209928571	2.38854482904546	0.020213112459549
"C7ORF26"	0.25954588054386	-0.100029937107143	2.38818100789329	0.0202312812763412
"LIPG"	-0.50433735528655	0.226979374214286	-2.38766044905352	0.0202573028219979
"CNNM3"	0.221697590982456	-0.237201366857143	2.38747768418661	0.02026644592369
"TK2"	0.220572392181287	0.135235031178571	2.38675806003851	0.0203024821810226
"SPCS2"	-0.266786584923976	0.1632354005	-2.385608505472	0.0203601668566546
"GRIN2A"	0.383610350891813	-0.077026615375	2.38408056761887	0.0204370658790003
"APOBEC3A"	-0.618497032815789	0.174018555125	-2.38145990654271	0.0205695655872798
"MC1R"	0.410008387953216	0.257115117571429	2.38073745159011	0.0206062275598399
"RNF14"	-0.256125965435672	0.214539070982143	-2.37880642924922	0.0207045070825423
"BDH2"	0.333265514754386	0.0947174038928571	2.37676757203547	0.0208087297585113
"EPHB3"	-0.454382132935673	0.359819183285714	-2.37629598615745	0.0208329030903303
"PCBP1"	0.22509393145614	0.0513523130357143	2.37385418668857	0.0209584710388695
"ILK"	0.199329008622807	0.181847000196429	2.37313186434791	0.0209957454825065
"UBE3B"	0.231237715298246	0.0921344948571429	2.37248643857093	0.0210291019178118
"RAD1"	-0.363026818087719	0.115683719392857	-2.37178777053116	0.0210652633791926
"ABAT"	0.498693026423977	-0.209218974303571	2.36983535430387	0.0211666108987159
"RAB11FIP5"	0.321426572184211	0.208147045732143	2.3691643550407	0.0212015421470887
"LRRC50"	0.393352783131579	-0.490334926982143	2.36455649235968	0.0214428157792052
"COX6C"	-0.370394683149123	0.137371151946429	-2.36210515915316	0.0215721678822649
"RBM35A"	-0.417963938745614	0.133261284839286	-2.36185085981043	0.0215856265913755
"INDO"	-0.800963334172515	-0.019960697875	-2.35984679112728	0.0216919539986247
"SPRR1B"	-1.09222226060819	0.154838239642857	-2.35960109224292	0.0217050218796559
"FTCD"	0.374199454479532	-0.510182083285714	2.35937427137319	0.0217170919445434
"MLXIP"	0.209293426769006	0.170449092517857	2.35202119492366	0.0221116401545791
"CD55"	-0.541097255309941	0.242959463642857	-2.35146730273615	0.0221416181842726
"RBCK1"	0.32093702175731	-0.115067807946429	2.34904693057767	0.0222730407448987
"CASP3"	-0.243884922479532	0.102497676142857	-2.34551037920225	0.022466321694119
"MON1B"	0.181734428833333	-0.118143838160714	2.34547093486498	0.0224684858313104
"KCNK15"	0.464019268365497	0.00489216012500001	2.34381073784589	0.0225597423188305
"MTMR14"	0.251432217871345	-0.0213642047142857	2.34356440661221	0.0225733105975935
"MARCH6"	-0.342656688163743	0.0712047727857143	-2.34023920907203	0.0227571807409664
"PTTG1"	-0.477593625991228	-0.100506145767857	-2.3383429318629	0.0228626341222916
"KCNN2"	-0.212745725730994	-0.0449601038571429	-2.33518438226417	0.023039250691415
"TCF25"	0.226458168561403	0.0373625727142857	2.33360420846124	0.0231280647287183
"DPP6"	0.413400633730994	0.0575670987857143	2.33313293913213	0.0231546115247878
"AZIN1"	-0.319921276195906	0.153276157196429	-2.32995004930172	0.0233346169901526
"ZNF132"	0.225545170599415	-0.0873368342321429	2.32868186941186	0.0234066843275058
"GSPT2"	0.434782866733918	0.147119570446429	2.32868186748606	0.0234066844370945
"MATN2"	-0.630908627204679	-0.136478671428571	-2.3274951734904	0.0234743006130944
"ZNF528"	-0.386327550722222	-0.0267835467321429	-2.32745279319174	0.0234767185974357
"CDC6"	-0.373866746192982	0.102524152392857	-2.32633238161768	0.023540723550734
"CHST10"	0.327168537532164	-0.120750729785714	2.32529374979014	0.0236001954662294
"CLEC16A"	0.270496149181287	0.108724021071429	2.32265303909594	0.0237520050497265
"AHCYL1"	0.284419770502924	-0.0564252904285714	2.3207926706918	0.0238594754900866
"PCLO"	-0.197200611333333	-0.191417230785714	-2.31993694477787	0.0239090545361906
"SLC16A4"	0.347596135122807	0.118529344857143	2.3196584257889	0.0239252111342863
"SUB1"	-0.333817877295322	0.0543291457678571	-2.31870932580703	0.0239803404316462
"SAT1"	-0.375614064909356	0.250642509839286	-2.31851648349522	0.0239915556521724
"PODXL"	0.547967100897661	0.144910994589286	2.31832354429819	0.0240027811778678
"WHSC1"	-0.298201008406433	0.00648194355357143	-2.31715214187097	0.0240710357124461
"PEMT"	0.268904391192982	-0.0146880562142857	2.31661493800272	0.0241023948823231
"LGALS2"	0.541147052342105	0.00668821662499999	2.31578403000414	0.0241509705616061
"RRP12"	0.194303239371345	-0.126773996160714	2.31544832752168	0.0241706207394596
"LTA4H"	0.358514923605263	0.040557344125	2.31540710243925	0.02417303480943
"CTSC"	-0.356446137026316	0.291494798910714	-2.31513968636667	0.0241886994437957
"MAPK7"	0.193781906915205	0.0399387269821429	2.31413703800509	0.0242475127669256
"ATP6V1B1"	0.608462020508772	-0.160846386821429	2.31319860346329	0.0243026746389681
"ANKRD27"	0.402066512055556	0.0936096510892857	2.31082899412177	0.0244424590429186
"TMEM43"	0.222633760201755	0.138207693625	2.30984901316839	0.0245004772611795
"P53AIP1"	0.183265139269006	-0.18558692075	2.30311028601051	0.024902759381948
"CA5A"	0.265914482900585	-0.281562148428571	2.30224401030372	0.0249548969697325
"SAR1B"	-0.347829543333333	0.108328322285714	-2.30102009385783	0.0250287247998474
"POLD2"	0.313146584309941	-0.290197249678571	2.30092977414034	0.0250341806533911
"HPD"	0.413918113157895	-0.258969220857143	2.30068309639302	0.0250490868550287
"SARS"	0.278622432020468	0.125813933660714	2.29984315119688	0.0250999020737618
"GPRIN2"	0.436648376459064	-0.206514285375	2.29973366438274	0.0251065325766234
"NACAD"	0.357271243856725	0.0300864879464286	2.29898494806812	0.0251519164238078
"FLJ20433"	0.226422992953216	-0.158209629178571	2.29825104416216	0.0251964731150626
