"logFC"	"AveExpr"	"t"	"P.Value"
"BAZ1A"	-0.439876978730807	0.24219701925	-3.21285447538854	0.00191570913647855
"UXT"	0.480831701554337	0.110719295592105	3.21008516972134	0.0019320492804991
"SUV39H1"	0.465437045636092	0.210855138407895	3.20750940590471	0.00194736444933121
"MBNL1"	-0.341474609759721	0.0926537919078947	-3.20208214565726	0.00198000690421699
"SERPINB10"	-0.251566799018943	-0.0248454195789474	-3.20049856812104	0.00198962744324706
"CDCP1"	-0.68154772140977	0.206379680763158	-3.19891255395927	0.00199930660616622
"FAM50B"	-0.742046721861416	0.0887454523552632	-3.19613165591293	0.00201638434534924
"CALR"	-0.334784656060818	0.00934923175	-3.19115166508439	0.00204730835071102
"ZNF174"	0.296225079626122	-0.0297344974342105	3.19027615153352	0.0020527906174194
"MYL6B"	0.441936735212363	-0.0656092525526316	3.18991705019201	0.00205504319616486
"IQCC"	0.363648171016949	0.131001126026316	3.18277754482531	0.00210031068485177
"NAP1L4"	0.321130729211366	-0.0092018475131579	3.17684800717085	0.00213861331112033
"GNPDA1"	0.428717380844467	0.279692498381579	3.17498925725362	0.002150753918166
"LUC7L"	0.440738670007976	-0.1237908495	3.17033492844878	0.00218143727641957
"SETDB1"	0.388862629822532	0.0552681904736842	3.16286351310792	0.0022315486599787
"CCDC28B"	0.413161058892323	0.139384642092105	3.15874390547583	0.00225963706023004
"RRBP1"	-0.463021801107677	-0.204751462223684	-3.14519722558439	0.0023543464980289
"TPD52"	-0.389238903149551	0.191650823039474	-3.13067133301592	0.00246001043235606
"ATP1A2"	1.09451449682851	-0.535724291460526	3.12308162592121	0.00251696294541642
"PDE11A"	0.603188518654038	-0.000347217236842106	3.1210122770663	0.00253270312585766
"FGF17"	0.417739517676969	-0.155380985342105	3.11741236631541	0.00256030417573376
"AKR1C4"	0.762700543600199	0.0169995255394737	3.1118813155772	0.00260325842454234
"RAD51L1"	0.265846194824526	0.0360732340921053	3.09023101159741	0.00277793690976825
"GBP2"	-0.910560510863409	0.540565705736842	-3.08336873925625	0.00283554166269124
"SOX3"	0.386262995374875	-0.188429372434211	3.07720121536317	0.00288826114135443
"ZNF85"	0.487604602536391	0.0261803317368421	3.07337267413672	0.00292144449319209
"NDUFB11"	0.473563393161516	0.116912796513158	3.06395043775699	0.00300462687100928
